Regions,Categories,Lots_2016,Logements_2016,Lots_2017,Logements_2017,Lots_2018,Logements_2018,Lots_2019,Logements_2019,Lots_2020,Logements_2020
1- Tanger-Tétouan-Al Hoceïma,Opérations à faible valeur immobilière,196,0,1742,754,272,0,800,558,748,142
1- Tanger-Tétouan-Al Hoceïma,Opérations économiques et sociales  ,53,12323,0,9566,0,6937,540,14646,417,7633
1- Tanger-Tétouan-Al Hoceïma,"App, en Immeubles (moyen et haut standing….)",51,3924,382,3783,300,3889,401,4441,378,3272
1- Tanger-Tétouan-Al Hoceïma,Villas,0,118,0,276,6,100,0,216,0,62
1- Tanger-Tétouan-Al Hoceïma,Total,300,16365,2124,14379,578,10926,1741,19861,1543,11109
2- Dakhla-Oued Ed Dahab,Opérations à faible valeur immobilière,0,0,0,0,0,0,0,50,0,0
2- Dakhla-Oued Ed Dahab,Opérations économiques et sociales  ,0,838,476,775,0,458,200,624,0,1828
2- Dakhla-Oued Ed Dahab,"App, en Immeubles (moyen et haut standing….)",0,24,32,56,506,25,0,30,0,236
2- Dakhla-Oued Ed Dahab,Villas,0,0,0,0,0,0,0,610,0,769
2- Dakhla-Oued Ed Dahab,Total,0,862,508,831,506,483,200,1314,0,2833
3- Guelmim-Oued Noun,Opérations à faible valeur immobilière,0,0,0,0,0,0,0,0,0,0
3- Guelmim-Oued Noun,Opérations économiques et sociales  ,300,1539,0,1020,0,915,0,964,0,722
3- Guelmim-Oued Noun,"App, en Immeubles (moyen et haut standing….)",100,0,258,0,0,0,0,0,0,0
3- Guelmim-Oued Noun,Villas,0,0,0,0,0,0,0,0,0,0
3- Guelmim-Oued Noun,Total,400,1539,258,1020,0,915,0,964,0,722
4- Drâa-Tafilalet,Opérations  à faible valeur immobilière,74,0,0,0,50,0,0,0,0,0
4- Drâa-Tafilalet,Opérations économiques et sociales ,350,95,0,915,1179,1926,267,3618,0,966
4- Drâa-Tafilalet,"App, en Immeubles (moyen et haut standing….)",0,0,415,0,1476,0,1022,0,558,0
4- Drâa-Tafilalet,Villas,0,0,107,0,20,0,0,0,51,0
4- Drâa-Tafilalet,Total,424,95,522,915,2725,1926,1289,3618,609,966
5- Béni Mellal-Khénifra,Opérations à faible valeur immobilière,0,200,1320,0,0,0,0,0,0,0
5- Béni Mellal-Khénifra,Opérations économiques et sociales  à faible valeur immobilière,1823,8375,2742,8272,2671,18058,874,8506,46,3766
