Regions,Lots_2016,Logements_2016,Lots_2017,Logements_2017,Lots_2018,Logements_2018,Lots_2019,Logements_2019,Lots_2020,Logements_2020
1- Tanger-Tétouan-Al Hoceïma,300,16365,2124,14379,578,10926,1741,19861,1543,11109
2- Dakhla-Oued Ed Dahab,0,862,508,831,506,483,200,1314,0,2833
3- Guelmim-Oued Noun,400,1539,258,1020,0,915,0,964,0,722
4- Drâa-Tafilalet,424,95,522,915,2725,1926,1289,3618,609,966
5- Béni Mellal-Khénifra,3217,8917,5691,8424,2937,18092,979,8560,523,4116
6- l'Oriental,2447,6234,1837,6163,2731,5491,2275,5773,1386,3607
7- Laâyoune-Sakia El Hamra,631,1142,716,1800,928,1608,425,850,156,2128
8- Fès-Meknès,7143,18897,6286,20064,6899,23098,5618,17925,4014,10944
9- Souss-Massa,1596,17948,213,11997,832,14138,2791,19699,687,5506
10- Casablanca-Settat,3696,20475,2579,28777,5587,33431,6428,40017,1707,15826
11- Rabat-Salé-Kénitra,7065,30987,3985,33479,5786,27838,3434,19429,8230,26252
12- Marrakech-Safi,5451,10412,2360,5836,2788,10849,1764,11266,945,6804
